From,Subject,Body,X-FileName,IsPhishing
eBay Team <aw-confirm36@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSellers,None,None,1
eBay Team <aw-confirm36@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSellers,None,None,1
Chevy Chase Bank <accounts@chevychase.com>,Chevy Chase Bank: Unusual activity in your account !,None,None,1
PayPal Account Review Department <service@paypal.com>,Notification of Limited Account Access,None,None,1
LaSalle Bank <support_num_83@lasallebank.com>,LaSalle Bank: urgent security notification for clients,None,None,1
eBay Inc <support_id_45@ebay.com>,Update Your Account Records,None,None,1
Ebay Team <aw23-confirm@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSeller,None,None,1
SouthTrust Support <ned@southtrust.com>,SouthTrust Bank Checking Card,None,None,1
eBay Inc <support_id_01723@ebay.com>,"eBay Inc Fraud Verification Process [Thu, 21 Jul 2005 16:46:27 -0200]",None,None,1
info@example.com,Your Account is Suspended For Security Reasons,None,None,1
info@example.com,Notice of account limitation,None,None,1
mail@example.com,Email Account Suspension,None,None,1
Bank of the West <service@bankofthewest.com>,Online Banking and Bill Pay Deactivation Notice,None,None,1
"""security@ebay.com"" <security@ebay.com>",Unauthorized transactions on your account,None,None,1
"""PayPal Inc."" <online@paypal.com>",Your Paypal Account Could Be Suspended,None,None,1
Bank Of The West <service@bankofthewest.com>,Update Your Account Information,None,None,1
Bank of the West <service@bankofthewest.com>,Please Upgrade Your Account,None,None,1
Bank Of The West <security@bankofthewest.com>,System Upgrade,None,None,1
"""service@eBay.com"" <service@eBay.com>",Your eBay Account Has Been Suspended !!!,None,None,1
Ebay Team <aw23-confirm@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSeller,None,None,1
"""service@paypal.com"" <service@paypal.com>",Please Update Your Account Access ,None,None,1
"""administration@ncua.gov"" <administration@ncua.gov>",Update And Verify Your FCU Account ,None,None,1
Bank of the West <accounts@bankofthewest.com>,Customer Notice,None,None,1
Bank of the west <info@bankofthewest.com>,Confirm your identify,None,None,1
PayPal <service@email.paypal.com>,Unauthorized Account Access: (Routing code: 874365-328987-YUQR),None,None,1
Account Service <service@paypal.com>,Verify your PayPal Account,None,None,1
eBay <support_ref_3061@ebay.com>,eBay Strongly Recommends,None,None,1
Bank Of The West Security Service <confirm@bankofthewest.com>,Online Banking and Bill Pay Deactivation Notice,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
"""security@ebay.com"" <security@ebay.com>",Unauthorized transactions on your account,None,None,1
security@paypal.com,Account Suspension Notice - Limited Use,None,None,1
PayPal Security Department <service@paypal.com>,Your PayPal Account,None,None,1
"""aw-confirm@eBay.com"" <user@isp.com>",Your Final Warning From eBay,None,None,1
paypal <service@paypal.com>,Please Restore Your Account Access,None,None,1
"""paypal@paypal.com"" <paypal@paypal.com>",Update Your Paypal Account,None,None,1
fraudprotection@visa.com,*** URGENT *** Please Read,None,None,1
eBay Inc <identdep_op9448546739339@ebay.com>,Private Urgent Message From eBay,None,None,1
"""eBay Security Dept."" <security@ebay.com>",IMPORTANT:Security Issues  [Incident: 040921],None,None,1
"""eBay Security Dept."" <security@ebay.com>",IMPORTANT:Security Issues  [Incident: 040921],None,None,1
Customer Support <support@paypal.com>,PayPal Notification ( Your account is suspended ),None,None,1
Administration der Postbank <info@postbank.de>,Administration der Postbank,None,None,1
"""service@intl.paypal.com"" <service@intl.paypal.com>",Update your account information,None,None,1
customercare@bankofthewest.com,BANK OF THE WEST NOTICE,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",***Urgent Safeharbor Department Notice***,None,None,1
Paypal <accounts@paypal.com>,Unauthorized Access Report (Notice #21174),None,None,1
Paypal <accounts@paypal.com>,Unauthorized Access Report (Notice #21174),None,None,1
"""support@ncua.gov"" <support@ncua.gov>",National Credit Union Administration,None,None,1
"""F.C.U. Security Service"" <confirm@ncua.gov>",IMPORTANT: FCU Verification,None,None,1
"""security@wellsfargo.com"" <security@wellsfargo.com>",updated your billing information,None,None,1
Deutsche Bank <security@deutsche-bank.de>,Deutsche Bank,"{'file': 1, 'html': 1, 'letter': 1, 'required': 1}",None,1
Deutsche Bank <security@deutsche-bank.de>,Deutsche Bank,"{'file': 1, 'html': 1, 'letter': 1, 'required': 1}",None,1
"""security@wellsfargo.com"" <security@wellsfargo.com>",updated your billing information,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""service@eBay.com"" <service@eBay.com>",Private Message From eBay Accounts Management !!!,None,None,1
Account Service <service@paypal.com>,Verify your Paypal Account,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""suspension@ebay.com"" <suspension@ebay.com>",Your account has been suspended,None,None,1
"""service@eBay.com"" <service@eBay.com>",IMPORTANT: Verify Your eBay Account,None,None,1
"""service@ebay.com"" <service@ebay.com>",Update And Verify Your eBay Account,None,None,1
paypal services <services@paypal.com>,account assistance,None,None,1
"""service@paypal.com"" <service@paypal.com>",IMPORTANT: Update and Verify Your PayPal Account,None,None,1
"""service@paypal.com"" <service@paypal.com>",IMPORTANT: Verify Your PayPal Account,None,None,1
PayPal <webform@email.paypal.com>,Unauthorized Access Report (KMM164503346316590L0KM),None,None,1
Bank of the West <webform@bankofthewest.com>,Unauthorized Access Report (KMM1645574346316590L0KM),None,None,1
Charlie Root <root@example.com>,atf.example.com weekly output,"{'database': 1, 'databases': 1, 'locate': 1, 'nrebuilding': 2, 'whatis': 1}",None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
Sky Bank Accounts Department <admin@skyfi.com>,Please Verify Your Accounts !,None,None,1
deutschebank <support@deutschebank.net>,Online Bank,None,None,1
deutschebank <support@deutschebank.net>,Online Bank,None,None,1
"""accounts.support@email.paypal.com"" <accounts.support@email.paypal.com>",Please Update Your Account Access,None,None,1
Notification@PayPal.com,PayPal Inc. Member Notice,None,None,1
"""online-banking-rep596249@bankofthewest.com"" <identdep_op09@bankofthewest.com>",Your Bank of the West Account,"{'118': 1, '128bits': 1, '163': 1, '178': 1, 'account': 1, 'accounts': 1, 'agreement': 2, 'bank': 2, 'banking': 1, 'bow': 1, 'card': 1, 'changes': 1, 'commitment': 1, 'continue': 1, 'continuing': 1, 'credit': 1, 'customer': 1, 'days': 1, 'dear': 1, 'encrypted': 1, 'encryption': 1, 'enhancements': 1, 'enter': 1, 'environment': 1, 'experience': 1, 'fraud': 1, 'information': 3, 'instance': 1, 'link': 1, 'locked': 1, 'maintain': 1, 'member': 2, 'money': 1, 'na': 1, 'nas': 2, 'nbank': 1, 'nclick': 1, 'new': 2, 'nfree': 1, 'nhttp': 1, 'nour': 1, 'nsend': 1, 'nsincerely': 1, 'nthank': 1, 'nthe': 1, 'nthis': 2, 'nto': 1, 'nyou': 1, 'nyour': 1, 'offer': 1, 'online': 2, 'outlined': 1, 'period': 1, 'periodically': 1, 'policy': 1, 'privacy': 1, 'protect': 1, 'questions': 1, 'receive': 1, 'reduce': 1, 'requested': 1, 'required': 3, 'review': 1, 'risk': 1, 'safe': 1, 'send': 1, 'service': 1, 'site': 4, 'undertaking': 1, 'user': 2, 'verify': 1, 'visit': 2, 'website': 1, 'west': 3}",None,1
"""security@paypal.com"" <security@paypal.com>",Please Restore Your Account Access,None,None,1
service@eBay.com,Security : Your eBay user have a problem !,None,None,1
eBay <custservice_id_30210060142@ebay.com>,"Important Banking MaiI [Thu, 23 Jan 2003 17:17:10 -0700]",None,None,1
eBay <custservice_id_29753470320129@ebay.com>,eBay Inc Informs You,None,None,1
paypal services <services@paypal.com>,account assistance,None,None,1
"""service@paypal.com"" <service@paypal.com>",TKO NOTICE: Verify Your Billing Information #PP069737184,None,None,1
eBay Security Department <accounts@ebay.com>,Notification of Limited Account Access,None,None,1
"""accounts@skyfi.com"" <accounts@skyfi.com>",Verify Your Details With Sky Bank,"{'18': 1, '61': 1, '95': 1, '97': 1, 'access': 3, 'account': 7, 'accounts': 1, 'agreed': 1, 'allowed': 1, 'aware': 1, 'bank': 4, 'block': 1, 'business': 1, 'card': 2, 'check': 1, 'complete': 1, 'compromised': 1, 'conditions': 1, 'consideration': 1, 'control': 2, 'customer': 1, 'dear': 1, 'department': 1, 'development': 1, 'drugs': 1, 'email': 1, 'expedited': 1, 'externally': 1, 'failure': 1, 'follow': 1, 'group': 1, 'identity': 1, 'illegal': 1, 'indicates': 1, 'inform': 1, 'information': 1, 'initiated': 1, 'instructed': 1, 'involved': 1, 'laundering': 1, 'liability': 1, 'link': 1, 'member': 1, 'nabove': 1, 'naccount': 1, 'nactivity': 1, 'nany': 1, 'ncannot': 1, 'ndesignate': 1, 'ndetails': 1, 'nfederal': 1, 'nhttp': 1, 'nmatter': 1, 'nmoney': 1, 'nno': 1, 'nnote': 1, 'nother': 1, 'noticed': 1, 'notified': 1, 'nour': 2, 'nparties': 1, 'nplease': 2, 'nsincerely': 1, 'nsky': 2, 'nsupport': 1, 'nthank': 1, 'nthat': 1, 'nthese': 1, 'nthis': 1, 'nverification': 1, 'nwe': 1, 'nyour': 1, 'occurred': 1, 'outside': 1, 'parties': 2, 'past': 1, 'process': 1, 'reactivate': 1, 'related': 1, 'requests': 1, 'result': 1, 'security': 1, 'sky': 2, 'skyfi': 1, 'state': 1, 'terms': 1, 'terrorism': 1, 'time': 1, 'times': 1, 'title': 1, 'transactions': 1, 'unlock': 1, 'unusual': 1, 'various': 1, 'verify': 1, 'violations': 1, 'xae': 1}",None,1
PayPal Security Departament <security@epaypal.com>,Security Measures - Are You Traveling?,None,None,1
eBay <aw-support@ebay.com>,Place or Update Credit Card on File !,None,None,1
customercare@northforkbank.com,NORTH FORK BANK NOTICE,None,None,1
Armed Forces Bank <service@afbbank.com>,Online Banking and Bill Payment Deactivation Notice,None,None,1
Armed Forces Bank <service@afbbank.com>,Online Banking and Bill Payment Deactivation Notice,None,None,1
LaSalle Bank <service@lasallebank.com>,Urgent Security Notification.,None,None,1
suspension@ebay-bilIing.com,"Authorization failed, eBay.com will get block in 12 hours your accont",None,None,1
aw-configf@ebay.com,eBay Verify Accounpu,"{'003399': 1, '10': 1, '122': 1, '136': 1, '202': 1, '64': 1, '_blank': 1, 'account': 4, 'additional': 1, 'address': 1, 'advised': 1, 'amounts': 1, 'amp': 1, 'aw': 2, 'billing': 1, 'br': 17, 'ce': 1, 'cgi': 2, 'charge': 1, 'click': 1, 'color': 1, 'com': 2, 'community': 1, 'considered': 1, 'contact': 1, 'courier': 4, 'currently': 1, 'dear': 1, 'disconnected': 1, 'disputed': 1, 'dll': 1, 'dllsignin': 1, 'ebay': 8, 'ebayisapi': 2, 'ebaysuspension': 1, 'fa': 1, 'face': 3, 'false': 1, 'falsifying': 1, 'fax': 1, 'fees': 1, 'file': 1, 'font': 6, 'hhsin': 1, 'href': 1, 'http': 2, 'immediately': 1, 'includes': 1, 'including': 1, 'inform': 1, 'information': 2, 'like': 1, 'link': 1, 'machines': 1, 'member': 1, 'method': 1, 'missing': 1, 'modems': 1, 'new': 5, 'note': 1, 'number': 1, 'numbers': 2, 'nvkedz': 1, 'omitting': 1, 'pager': 1, 'payable': 1, 'php': 1, 'policy': 1, 'previously': 1, 'prohibited': 1, 'prohibition': 1, 'provide': 1, 'regards': 1, 'registering': 1, 'regret': 1, 'reinstatement': 1, 'seller': 1, 'signin': 3, 'sin': 1, 'site': 1, 'size': 3, 'sspagename': 2, 'suspended': 1, 'suspension': 1, 'target': 1, 'telephone': 1, 'use': 1, 'using': 1, 'violation': 1, 'way': 1}",None,1
Wells Fargo Online Banking <accounts@wellsfargo.com>,Update Information - Verification Required,None,None,1
eBay Security Center <aw-confirm@ebay.com>,TKO NOTICE: eBay Registration Suspension -Section 9- ,None,None,1
eBay <aw-Fraud@e-bay.com>,eBay Fraud Mediation Request,None,None,1
Sammie Downs <update@ebay.com>,eBay Billing Department,None,None,1
service@amazon.com,Private Message From Amazon Accounts Management !!!,None,None,1
eBay Inc <support_ref_19@ebay.com>,"eBay: Urgent Notification From Billing Department [Thu, 22 Sep 2005 17:20:24 +0600]",None,None,1
eBay Inc <identdep_op903270930920144@ebay.com>,"EBAY INC: URGENT SECURITY NOTIFICATION FOR CLIENTS [Wed, 28 Sep 2005 20:55:53 -0500]",None,None,1
eBay Customer Support <info@ebay.com>,Update Notification,None,None,1
eBay <support_refnum_8659914256919@ebay.com>,"IMPORTANT INFORMATION ABOUT YOUR EBAY ACCOUNT [Tue, 04 Oct 2005 18:57:56 -0300]",None,None,1
eBay <eBay@Fraud.e-bay.com>,eBay Fraud Mediation Request,None,None,1
Wells Fargo Online Banking <accounts@wellsfargo.com>,Update Information - Verification Required,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",TKO Notice: ***Urgent Safeharbor Department Notice*** ,None,None,1
"""bybank@bybank.it"" <Dirson@antronomia.com>",Egregi clienti della banca Bybank,"{'aggiunta': 1, 'al': 3, 'alla': 2, 'allargata': 1, 'aprite': 1, 'assalti': 1, 'assistenza': 1, 'attualmente': 1, 'autenticazione': 1, 'banca': 3, 'bank': 2, 'banking': 2, 'base': 1, 'browser': 1, 'bybank': 3, 'che': 1, 'chiudere': 1, 'clienti': 2, 'codice': 1, 'combinazione': 1, 'conto': 1, 'contro': 1, 'dati': 3, 'dei': 2, 'del': 6, 'della': 2, 'devono': 1, 'di': 5, 'egregi': 1, 'entrate': 1, 'essere': 1, 'evitare': 1, 'far': 1, 'fase': 1, 'finestra': 1, 'fisso': 1, 'generale': 1, 'http': 2, 'il': 1, 'imprese': 1, 'indirizzo': 1, 'informiamo': 1, 'internet': 2, 'la': 7, 'lavori': 1, 'n1': 1, 'n2': 1, 'n3': 1, 'ndistinti': 1, 'nel': 1, 'nella': 1, 'net': 2, 'nostra': 1, 'nostro': 1, 'ntutti': 1, 'nuovo': 4, 'obbligatoria': 1, 'ondine': 2, 'online': 3, 'pagina': 1, 'perdita': 1, 'personali': 1, 'phishing': 1, 'pin': 1, 'piu': 1, 'prega': 1, 'procedura': 1, 'protetto': 1, 'protezione': 1, 'relazione': 1, 'saluti': 1, 'sempre': 1, 'server': 5, 'servizio': 3, 'si': 1, 'soggetti': 1, 'sovraccarico': 1, 'successo': 1, 'tecnica': 1, 'tecnice': 1, 'termine': 1, 'test': 1, 'transferire': 1, 'usando': 1, 'utente': 1, 'vi': 1, 'vostri': 2, 'vostro': 2, 'web': 2, 'www': 3, 'zona': 1}",None,1
PostBank <ssl@postbankde.com>,Online Kunden,None,None,1
PostBank <ssl@postbankde.com>,Online Kunden,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",TKO Notice: ***Urgent Safeharbor Department Notice*** ,None,None,1
FinecoBank <manager@fineco.it>,Attenzione ID#62724,None,None,1
Ali <Jimmy@yulanstudio.com>,Postbank.de,None,None,1
gillean anurag <508frederic@postbankde.com>,Online Kunden,None,None,1
Amazon <service@amazon.com>,Revision to Your Amazon.com Information,None,None,1
maggie chrissy <288emlyn@postbankde.com>,Online Kunden,None,None,1
"""Visa Security Dep."" <Security@VerifiedByVisa.com>",Viza Security Alert,None,None,1
eBay Customer Support <customer@ebay.com>,FPO Notice: Important information about your eBay account,None,None,1
eBay Customer Support <customer@ebay.com>,FPO Notice: Important information about your eBay account,None,None,1
Wells Fargo Online Banking <accounts@wellsfargo.com>,Update Information - Verification Required,None,None,1
"""service@paypal.com"" <service@paypal.com>",Update Your PayPal Account !,None,None,1
isto brook <3khayroll@postbankde.com>,Postbank Online Banking,None,None,1
eBay Inc <support_ref_09205@ebay.com>,EBAY: IMPORTANT NOTIFICATION,None,None,1
eBay Inc <support_ref_09205@ebay.com>,EBAY: IMPORTANT NOTIFICATION,None,None,1
PayPal <service@paypal.com>,Your account has been limited ,None,None,1
"""PayPal INC."" <support@email.paypal.com>",PayPal Security Notification of Limited Account Access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Reactivate Your PayPal Account!,None,None,1
Securiyc@southtrust.com,Account Notification - Issue #KMM327969872pb,"{'01': 1, '2005': 1, '207': 1, '71': 1, '8859': 1, '999999': 2, '_blank': 1, 'align': 3, 'answer': 1, 'apologies': 1, 'arial': 12, 'ask': 1, 'bank': 3, 'base': 1, 'body': 2, 'border': 2, 'carrying': 1, 'cellpadding': 2, 'cellspacing': 2, 'charset': 1, 'color': 2, 'com': 4, 'confirmation': 2, 'content': 2, 'copy': 1, 'copyright': 1, 'customer': 2, 'customers': 1, 'data': 1, 'dear': 1, 'div': 4, 'doctype': 1, 'dtd': 2, 'earnestly': 1, 'email': 1, 'en': 1, 'equiv': 1, 'expo93': 2, 'face': 12, 'fdic': 1, 'follow': 1, 'following': 1, 'font': 24, 'gif': 1, 'given': 1, 'green': 2, 'hardware': 1, 'head': 2, 'height': 1, 'helvetica': 12, 'href': 2, 'html': 5, 'html4': 1, 'http': 5, 'https': 1, 'img': 1, 'index': 2, 'instructions': 1, 'iso': 1, 'kr': 2, 'link': 1, 'lookintothewell': 1, 'loose': 1, 'member': 1, 'meta': 1, 'nbsp': 6, 'operating': 1, 'org': 1, 'personalbanking': 1, 'php': 2, 'planned': 1, 'present': 1, 'procedure': 1, 'public': 1, 'reserved': 1, 'right': 3, 'rights': 1, 'sans': 12, 'serif': 12, 'services': 1, 'size': 12, 'software': 1, 'south': 3, 'southtrust': 5, 'src': 1, 'st': 2, 'start': 1, 'table': 4, 'target': 1, 'td': 30, 'technical': 1, 'text': 1, 'thank': 1, 'title': 2, 'tr': 31, 'transitional': 1, 'trust': 3, 'type': 1, 'upgrade': 2, 'verdana': 12, 'visit': 1, 'w3': 1, 'w3c': 1, 'width': 1, 'www': 4, 'znldgz': 1}",None,1
PayPal <Service@Paypal.com>,Account Review.PayPal Team identified some unusual activity in your account,None,None,1
Amazon <service@amazon.com>,Amazon.com Inquiry,"{'account': 1, 'actions': 2, 'agreement': 1, 'amazon': 5, 'apreciate': 1, 'attention': 1, 'authenticate': 1, 'automated': 1, 'believe': 1, 'care': 1, 'cause': 1, 'cn': 1, 'com': 1, 'community': 1, 'concerns': 1, 'dear': 1, 'department': 1, 'designed': 1, 'don': 1, 'encrypted': 1, 'exec': 1, 'financial': 1, 'follow': 1, 'immediately': 1, 'indefinitely': 1, 'information': 4, 'inquiry': 1, 'integrity': 1, 'issue': 1, 'issued': 1, 'legal': 1, 'liability': 1, 'link': 1, 'loss': 1, 'mail': 1, 'market': 1, 'matter': 1, 'member': 1, 'membership': 1, 'message': 1, 'namazon': 1, 'nand': 1, 'ndue': 1, 'nhttp': 1, 'nnote': 1, 'nper': 1, 'nplease': 1, 'nregards': 1, 'nthank': 1, 'nwe': 1, 'obidos': 1, 'personal': 1, 'place': 1, 'policy': 1, 'privacy': 1, 'protect': 1, 'provide': 2, 'refuse': 1, 'reply': 1, 'safe': 1, 'safety': 2, 'section': 1, 'sent': 1, 'services': 1, 'support': 1, 'suspend': 2, 'temporarily': 1, 'terminate': 1, 'trade': 1, 'treats': 1, 'unable': 1, 'understanding': 1, 'update': 1, 'user': 1, 'users': 1, 'utmost': 1, 'verify': 1, 'warning': 2, 'work': 1, 'www': 1}",None,1
Amazon <service@amazon.com>,Amazon.com Inquiry,"{'account': 1, 'actions': 2, 'agreement': 1, 'amazon': 5, 'apreciate': 1, 'attention': 1, 'authenticate': 1, 'automated': 1, 'believe': 1, 'care': 1, 'cause': 1, 'cn': 1, 'com': 1, 'community': 1, 'concerns': 1, 'dear': 1, 'department': 1, 'designed': 1, 'don': 1, 'encrypted': 1, 'exec': 1, 'financial': 1, 'follow': 1, 'immediately': 1, 'indefinitely': 1, 'information': 4, 'inquiry': 1, 'integrity': 1, 'issue': 1, 'issued': 1, 'legal': 1, 'liability': 1, 'link': 1, 'loss': 1, 'mail': 1, 'market': 1, 'matter': 1, 'member': 1, 'membership': 1, 'message': 1, 'namazon': 1, 'nand': 1, 'ndue': 1, 'nhttp': 1, 'nnote': 1, 'nper': 1, 'nplease': 1, 'nregards': 1, 'nthank': 1, 'nwe': 1, 'obidos': 1, 'personal': 1, 'place': 1, 'policy': 1, 'privacy': 1, 'protect': 1, 'provide': 2, 'refuse': 1, 'reply': 1, 'safe': 1, 'safety': 2, 'section': 1, 'sent': 1, 'services': 1, 'support': 1, 'suspend': 2, 'temporarily': 1, 'terminate': 1, 'trade': 1, 'treats': 1, 'unable': 1, 'understanding': 1, 'update': 1, 'user': 1, 'users': 1, 'utmost': 1, 'verify': 1, 'warning': 2, 'work': 1, 'www': 1}",None,1
customerservire@comfedbank.com,Comfed Bank Online Updafr,"{'003399': 2, '15': 1, '2005': 2, '92051208': 1, 'access': 2, 'account': 1, 'arial': 1, 'assigned': 1, 'bank': 6, 'banking': 1, 'br': 14, 'color': 2, 'com': 1, 'comfedbank': 1, 'commercial': 7, 'contact': 3, 'copyright': 1, 'customer': 3, 'ddfl': 1, 'deactivated': 2, 'dear': 1, 'deleted': 2, 'div': 32, 'document': 1, 'em': 2, 'equal': 1, 'expiration': 1, 'face': 1, 'fdic': 1, 'federal': 6, 'font': 6, 'furryscurry': 1, 'gif': 1, 'housing': 1, 'href': 1, 'htm': 1, 'http': 2, 'img': 1, 'immediately': 1, 'important': 1, 'index': 1, 'information': 1, 'inquiries': 1, 'jasin': 1, 'kr': 1, 'lender': 1, 'listed': 2, 'logos': 1, 'member': 1, 'message': 1, 'nbsp': 54, 'notification': 1, 'notifications': 1, 'ns': 1, 'october': 1, 'official': 1, 'onclick': 1, 'onfiltered': 1, 'online': 3, 'org': 1, 'payment': 1, 'previous': 1, 'primary': 1, 'reference': 1, 'renew': 2, 'renewed': 1, 'reply': 1, 'reserved': 1, 'return': 2, 'rights': 1, 'sent': 1, 'service': 4, 'showlinkwarning': 2, 'size': 1, 'src': 1, 'support': 2, 'thank': 1, 'wenuxz': 1, 'www': 1}",None,1
customerservire@comfedbank.com,Comfed Bank Online Updafr,"{'003399': 2, '15': 1, '2005': 2, '92051208': 1, 'access': 2, 'account': 1, 'arial': 1, 'assigned': 1, 'bank': 6, 'banking': 1, 'br': 14, 'color': 2, 'com': 1, 'comfedbank': 1, 'commercial': 7, 'contact': 3, 'copyright': 1, 'customer': 3, 'ddfl': 1, 'deactivated': 2, 'dear': 1, 'deleted': 2, 'div': 32, 'document': 1, 'em': 2, 'equal': 1, 'expiration': 1, 'face': 1, 'fdic': 1, 'federal': 6, 'font': 6, 'furryscurry': 1, 'gif': 1, 'housing': 1, 'href': 1, 'htm': 1, 'http': 2, 'img': 1, 'immediately': 1, 'important': 1, 'index': 1, 'information': 1, 'inquiries': 1, 'jasin': 1, 'kr': 1, 'lender': 1, 'listed': 2, 'logos': 1, 'member': 1, 'message': 1, 'nbsp': 54, 'notification': 1, 'notifications': 1, 'ns': 1, 'october': 1, 'official': 1, 'onclick': 1, 'onfiltered': 1, 'online': 3, 'org': 1, 'payment': 1, 'previous': 1, 'primary': 1, 'reference': 1, 'renew': 2, 'renewed': 1, 'reply': 1, 'reserved': 1, 'return': 2, 'rights': 1, 'sent': 1, 'service': 4, 'showlinkwarning': 2, 'size': 1, 'src': 1, 'support': 2, 'thank': 1, 'wenuxz': 1, 'www': 1}",None,1
